factor,ic_mean,ic_std,ir,hit_rate,ic_20d,n_days,selected
mom_42d,0.01782,0.19292,0.092,0.5581,0.0191,86,True
mom_126d,0.01585,0.19372,0.082,0.5733,0.0419,75,True
mom_63d,0.01225,0.20402,0.06,0.5581,0.0123,86,True
rs_bench_63d,0.01225,0.20402,0.06,0.5581,0.0123,86,True
ram_63d,0.01141,0.19805,0.058,0.5698,0.0069,86,True
rev_10d,0.00924,0.16111,0.057,0.5,0.0174,86,False
rev_5d,0.00872,0.16566,0.053,0.5233,0.0257,86,False
vol_21_63,0.00386,0.0967,0.04,0.5,-0.0048,86,False
vol_5_63,0.00357,0.10552,0.034,0.5465,-0.0204,86,False
dist_20d,0.00268,0.1774,0.015,0.4884,0.0153,86,False
rev_21d,0.00262,0.18432,0.014,0.4767,0.0187,86,False
vol_5_21,0.00101,0.09874,0.01,0.4651,-0.0177,86,False
rev_2d,-0.00039,0.16961,-0.002,0.5116,-0.0137,86,False
obv_21d,-0.00107,0.12687,-0.008,0.5116,-0.0074,86,False
ram_21d,-0.00149,0.16975,-0.009,0.5349,-0.0142,86,False
rsi14_cs,-0.00223,0.16879,-0.013,0.4767,0.0141,86,False
mom_21d,-0.00262,0.18432,-0.014,0.5233,-0.0187,86,False
rs_bench_21d,-0.00262,0.18432,-0.014,0.5233,-0.0187,86,False
rsi2_cs,-0.00565,0.15176,-0.037,0.4419,0.0042,86,False
mom_5d,-0.00872,0.16566,-0.053,0.4767,-0.0257,86,False
mom_10d,-0.00924,0.16111,-0.057,0.5,-0.0174,86,False
dist_50d,-0.0111,0.19146,-0.058,0.4651,0.0011,86,False
obv_5d,-0.01211,0.12269,-0.099,0.4651,-0.0241,86,False
macd_hist,-0.01418,0.18036,-0.079,0.5,-0.0157,86,False
dist_200d,-0.01947,0.19597,-0.099,0.4186,-0.0374,86,False
finra_21d,-0.0233,0.0629,-0.37,0.2,-0.0233,10,False
finra_5d,-0.02438,0.05953,-0.41,0.2,-0.0244,10,False
vol_5d_low,-0.03099,0.16656,-0.186,0.4186,-0.0315,86,False
vol_21d_low,-0.04078,0.21673,-0.188,0.4419,-0.0233,86,False
atr_low,-0.04217,0.24385,-0.173,0.4535,-0.021,86,False
vol_10d_low,-0.04372,0.20043,-0.218,0.4186,-0.0299,86,False
vol_63d_low,-0.0472,0.24767,-0.191,0.4535,-0.0162,86,False
