factor,ic_mean,ic_std,ir,hit_rate,ic_20d,n_days,selected
mom_42d,0.02224,0.20097,0.111,0.5734,-0.0785,429,True
mom_126d,0.02089,0.21164,0.099,0.5749,-0.0591,374,True
mom_63d,0.01422,0.2094,0.068,0.5524,-0.0865,429,True
rs_bench_63d,0.01422,0.2094,0.068,0.5524,-0.0865,429,True
ram_63d,0.01306,0.20422,0.064,0.5548,-0.0853,429,True
ram_21d,0.00663,0.17095,0.039,0.5478,-0.1151,429,False
rsi2_cs,0.00655,0.16519,0.04,0.4732,0.1136,429,False
rev_2d,0.00536,0.18017,0.03,0.5268,0.0667,429,False
mom_21d,0.00532,0.18616,0.029,0.5175,-0.1116,429,False
rs_bench_21d,0.00532,0.18616,0.029,0.5175,-0.1116,429,False
rev_5d,0.00526,0.18014,0.029,0.4802,0.2047,429,False
vol_5_63,0.00502,0.10236,0.049,0.5012,0.0335,429,False
vol_21_63,0.00458,0.09833,0.047,0.5198,0.0241,429,False
rev_10d,0.00418,0.17345,0.024,0.4802,0.1612,429,False
dist_20d,0.00408,0.17762,0.023,0.4755,0.1408,429,False
obv_21d,0.00206,0.13288,0.015,0.5408,-0.0867,429,False
vol_5_21,0.00141,0.10027,0.014,0.4732,0.0242,429,False
rsi14_cs,-0.00276,0.17014,-0.016,0.4569,0.1427,429,False
mom_10d,-0.00418,0.17345,-0.024,0.5198,-0.1612,429,False
mom_5d,-0.00526,0.18014,-0.029,0.5198,-0.2047,429,False
rev_21d,-0.00532,0.18616,-0.029,0.4825,0.1116,429,False
finra_5d,-0.01067,0.06516,-0.164,0.4717,-0.0334,53,False
obv_5d,-0.01138,0.1301,-0.087,0.4802,-0.1707,429,False
macd_hist,-0.01316,0.18242,-0.072,0.4988,-0.157,429,False
dist_50d,-0.01376,0.19202,-0.072,0.4429,0.1083,429,False
finra_21d,-0.01755,0.07053,-0.249,0.434,-0.0499,53,False
dist_200d,-0.02351,0.20806,-0.113,0.4289,0.0751,429,False
vol_5d_low,-0.02679,0.17029,-0.157,0.4056,0.0249,429,False
vol_21d_low,-0.03532,0.21781,-0.162,0.4382,0.0213,429,False
atr_low,-0.03546,0.23758,-0.149,0.4499,-0.0104,429,False
vol_10d_low,-0.03808,0.19863,-0.192,0.4172,0.02,429,False
vol_63d_low,-0.04178,0.24188,-0.173,0.4476,0.014,429,False
