ticker,weight,score,sector
A,0.0101,91.4,Other
ADI,0.009,71.2,Other
AIG,0.0116,30.5,Other
AKAM,0.009,79.8,Other
ALB,0.0059,13.3,Other
AMAT,0.0072,89.0,Other
AMD,0.0053,92.7,Tech
AMGN,0.012,38.9,Health
APO,0.0084,74.2,Other
APP,0.0038,37.8,Other
AXP,0.0107,65.6,Fin
BAC,0.0111,83.0,Fin
BIIB,0.0106,63.4,Other
BMY,0.0102,24.7,Other
C,0.0101,91.0,Fin
CAH,0.0126,73.6,Other
CAT,0.0106,93.5,Indust
CFG,0.0104,79.1,Other
CHRW,0.0102,80.2,Other
CIEN,0.0059,38.5,Other
CMI,0.0114,86.5,Other
COF,0.0092,44.7,Fin
COHR,0.0054,82.8,Other
COO,0.0089,46.5,Other
CPAY,0.0085,77.9,Other
CRL,0.007,91.2,Other
CSCO,0.0142,96.1,Other
CTSH,0.0134,10.7,Other
CVNA,0.0051,24.1,Other
DAL,0.0077,85.4,Other
DD,0.0112,43.9,Other
DG,0.007,14.6,Other
DOV,0.0122,54.0,Other
EL,0.0074,48.2,Other
EXPD,0.0131,83.6,Other
EXPE,0.0083,26.4,Other
F,0.0091,94.6,Other
FCX,0.0068,80.6,Other
FDX,0.01,83.7,Other
FITB,0.0109,83.2,Other
FIX,0.0052,78.9,Other
FOX,0.0105,8.8,Other
FOXA,0.012,8.0,Other
FSLR,0.0055,82.4,Other
GLD,0.0156,2.2,Commod
GM,0.0097,60.2,Other
GOOG,0.0097,59.3,Comm
GS,0.01,93.8,Fin
HBAN,0.01,66.5,Other
HII,0.0085,1.3,Other
HLT,0.012,87.5,Other
HPE,0.0069,98.9,Other
HSIC,0.0099,75.7,Other
HST,0.0102,95.7,Other
IDXX,0.008,18.9,Other
INCY,0.0098,63.9,Other
ISRG,0.0103,9.3,Health
IVZ,0.0093,83.9,Other
JBHT,0.0096,94.4,Other
JKHY,0.0133,1.5,Other
KEY,0.0102,77.8,Other
KEYS,0.009,70.8,Other
KLAC,0.0072,90.3,Other
LITE,0.005,64.3,Other
LLY,0.0084,97.9,Health
LRCX,0.007,88.6,Other
LUV,0.0083,73.1,Other
LVS,0.0096,27.1,Other
MAR,0.0112,90.8,Other
MNST,0.012,94.8,Other
MRK,0.0106,50.7,Health
MRNA,0.0048,77.0,Other
MS,0.01,95.3,Fin
MTD,0.0096,36.8,Other
NEM,0.0084,13.6,Other
NTRS,0.0106,85.0,Other
NUE,0.0079,97.2,Other
PCAR,0.0111,41.9,Other
PFG,0.0111,95.5,Other
PH,0.0101,49.5,Other
REGN,0.0095,12.0,Other
RF,0.0105,73.8,Other
RL,0.0078,81.5,Other
ROK,0.0099,84.9,Other
ROST,0.0122,86.7,Other
RTX,0.0116,26.2,Indust
SOLV,0.0092,78.5,Other
STLD,0.0094,97.6,Other
STT,0.0116,92.3,Other
STX,0.0074,96.4,Other
SYF,0.0088,46.0,Other
TER,0.0064,85.6,Other
TFC,0.0115,50.8,Other
TJX,0.0151,87.9,ConsDisc
TKO,0.0092,42.8,Other
TPR,0.0078,62.6,Other
TSLA,0.0045,23.0,ConsDisc
TXT,0.0105,49.3,Other
UAL,0.0064,77.6,Other
UHS,0.0095,2.4,Other
UPS,0.0101,66.2,Indust
USB,0.0114,68.4,Other
VTR,0.0144,29.0,Other
WAT,0.009,89.7,Other
WDC,0.0069,93.1,Other
WFC,0.0098,68.6,Fin
