ticker,action,entry_price,stop_loss,take_profit,rr_ratio,shares,size_eur,risk_eur,weight_pct,score,confidence,z_score,viable,sector
STLD,BUY,250.98,226.4794,299.9812,2.0,8.163059,2048.7645348865076,200.0,20.06,100.0,HIGH,3.33,True,Other
DDOG,BUY,221.37,190.3931,283.3238,2.0,0.289109,64.0,8.96,0.13,99.8,HIGH,3.32,True,Other
NUE,BUY,244.93,225.2982,284.1936,2.0,10.187561,2495.239140579453,200.0,19.98,99.6,HIGH,3.31,True,Other
CRWD,BUY,675.44,589.2833,847.7534,2.0,2.321352,1567.933832004306,200.0,19.94,99.4,HIGH,3.3,True,Other
AKAM,BUY,120.74,102.8076,156.6048,2.0,0.646016,78.0,11.58,0.16,99.3,HIGH,3.28,True,Other
HUM,BUY,360.72,330.6684,420.8232,2.0,6.655217,2400.6699584331996,200.0,19.88,99.1,HIGH,3.27,True,Other
VTRS,BUY,15.38,14.1471,17.8458,2.0,87.476757,1345.392534096533,107.85,19.84,98.9,HIGH,3.26,True,Other
MGM,BUY,46.57,42.6487,54.4126,2.0,0.0,0.0,0.0,0.64,98.7,HIGH,3.25,False,Other
CASY,BUY,831.67,751.5717,991.8666,2.0,0.0,0.0,0.0,98.5,98.5,HIGH,3.23,False,Other
MAR,BUY,384.19,360.0113,432.5474,2.0,0.0,0.0,0.0,98.3,98.3,HIGH,3.22,False,Other
EBAY,BUY,104.94,97.164,120.4921,2.0,0.0,0.0,0.0,98.1,98.1,HIGH,3.21,False,Other
GOOGL,BUY,349.68,320.0158,409.0084,2.0,0.0,0.0,0.0,97.9,97.9,HIGH,3.2,False,Comm
GOOG,BUY,348.78,319.0569,408.2262,2.0,0.0,0.0,0.0,0.91,97.8,HIGH,3.18,False,Comm
NTAP,BUY,158.31,138.9349,197.0601,2.0,0.0,0.0,0.0,0.76,97.6,HIGH,3.17,False,Other
ADM,BUY,76.29,70.5971,87.6757,2.0,0.0,0.0,0.0,97.4,97.4,HIGH,3.16,False,Other
SJM,BUY,107.19,99.0076,123.5548,2.0,0.0,0.0,0.0,97.2,97.2,HIGH,3.15,False,Other
JBHT,BUY,273.48,249.8402,320.7596,2.0,0.0,0.0,0.0,0.78,97.0,HIGH,3.13,False,Other
ODFL,BUY,219.52,196.2285,266.103,2.0,0.0,0.0,0.0,96.8,96.8,HIGH,3.12,False,Other
FTNT,BUY,145.39,130.8274,174.5152,2.0,0.0,0.0,0.0,96.6,96.6,HIGH,3.11,False,Other
INVH,BUY,28.44,27.0693,31.1814,2.0,0.0,0.0,0.0,96.4,96.4,HIGH,3.1,False,Other
