ticker,sector,action,entry_price,stop_loss,take_profit,rr_ratio,shares,size_eur,risk_eur,weight_pct,score,quintile,confidence,z_score,viable,remaining_cash_after,notes
APP,Other,BUY,568.24,517.9764,668.7671,2.0,0.100041,56.84713375796178,5.03,8.12,100.0,5,HIGH,4.42,True,643.15,LONG HRP | z=4.4 | Other | SL=517.9764 TP=668.7671
DDOG,Other,BUY,233.52,214.0906,272.3788,2.0,0.434366,101.43312101910827,8.44,14.49,99.8,5,HIGH,4.17,True,541.72,LONG HRP | z=4.2 | Other | SL=214.0906 TP=272.3788
FTNT,Other,BUY,146.84,138.7866,162.9467,2.0,0.736319,108.12101910828025,5.93,15.45,99.6,5,HIGH,4.01,True,433.6,LONG HRP | z=4.0 | Other | SL=138.7866 TP=162.9467
WDAY,Other,BUY,144.86,132.9363,168.7073,2.0,0.900276,130.4140127388535,10.73,18.63,99.4,5,HIGH,3.81,True,303.18,LONG HRP | z=3.8 | Other | SL=132.9363 TP=168.7073
MGM,Other,BUY,47.39,44.7711,52.6279,2.0,2.352078,111.46496815286623,6.16,15.92,99.3,5,HIGH,3.76,True,191.72,LONG HRP | z=3.8 | Other | SL=44.7711 TP=52.6279
INTC,Tech,BUY,109.7999,96.7572,135.8852,2.0,0.68016,74.68152866242038,8.87,10.67,99.1,5,HIGH,3.59,True,117.04,LONG HRP | z=3.6 | Tech | SL=96.7572 TP=135.8852
AKAM,Other,BUY,147.43,136.027,170.236,2.0,0.793856,117.03821656050955,9.05,16.72,98.9,5,HIGH,3.36,True,0.0,LONG HRP | z=3.4 | Other | SL=136.027 TP=170.236
CBOE,,AVOID,277.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1,HIGH,3.6,,,SHORT/SKIP | z=3.6
ALB,,AVOID,153.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1,HIGH,2.86,,,SHORT/SKIP | z=2.9
NVR,,AVOID,6237.6602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1,HIGH,2.51,,,SHORT/SKIP | z=2.5
BITO,,AVOID,8.705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1,HIGH,2.43,,,SHORT/SKIP | z=2.4
WMT,,AVOID,119.765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1,HIGH,2.25,,,SHORT/SKIP | z=2.2
IBIT,,AVOID,36.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1,HIGH,2.21,,,SHORT/SKIP | z=2.2
FBTC,,AVOID,55.605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1,HIGH,2.05,,,SHORT/SKIP | z=2.0
ZTS,,AVOID,78.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1,HIGH,1.93,,,SHORT/SKIP | z=1.9
KLAC,,AVOID,2064.3301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1,HIGH,1.89,,,SHORT/SKIP | z=1.9
COO,,AVOID,67.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1,HIGH,1.86,,,SHORT/SKIP | z=1.9
HCA,,AVOID,363.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1,HIGH,1.8,,,SHORT/SKIP | z=1.8
LMT,,AVOID,524.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1,HIGH,1.78,,,SHORT/SKIP | z=1.8
HSIC,,AVOID,77.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1,HIGH,1.71,,,SHORT/SKIP | z=1.7
REGN,,AVOID,623.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1,HIGH,1.71,,,SHORT/SKIP | z=1.7
IBM,,AVOID,285.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,1,HIGH,1.69,,,SHORT/SKIP | z=1.7
