ticker,sector,action,entry_price,stop_loss,take_profit,rr_ratio,shares,size_eur,risk_eur,weight_pct,score,quintile,confidence,z_score,viable,remaining_cash_after,notes
HPE,Other,BUY,47.91,43.2136,57.3027,2.0,2.543568,121.86234817813765,11.95,17.41,100.0,5,LOW,7.36,True,578.14,LONG HRP | z=7.4 | Other | SL=43.2136 TP=57.3027
DELL,Other,BUY,385.5058,346.8047,462.9081,2.0,0.246272,94.93927125506073,9.53,13.56,99.8,5,LOW,7.25,True,483.2,LONG HRP | z=7.2 | Other | SL=346.8047 TP=462.9081
AMAT,Other,BUY,502.8,465.4869,577.4262,2.0,0.211367,106.27530364372468,7.89,15.18,99.6,5,LOW,4.81,True,376.92,LONG HRP | z=4.8 | Other | SL=465.4869 TP=577.4262
MU,Tech,BUY,931.395,830.1932,1133.7987,2.0,0.086719,80.76923076923077,8.78,11.54,99.4,5,LOW,4.7,True,296.15,LONG HRP | z=4.7 | Tech | SL=830.1932 TP=1133.7987
SMCI,Other,BUY,41.475,36.6746,51.0758,2.0,1.605767,66.59919028340082,7.71,9.51,99.3,5,LOW,4.38,True,229.55,LONG HRP | z=4.4 | Other | SL=36.6746 TP=51.0758
NTAP,Other,BUY,168.0,155.7547,192.4906,2.0,0.910931,153.03643724696357,11.15,21.86,99.1,5,LOW,4.18,True,76.52,LONG HRP | z=4.2 | Other | SL=155.7547 TP=192.4906
CIEN,Other,BUY,442.45,380.7204,565.9092,2.0,0.172942,76.51821862348179,10.68,10.93,98.9,5,LOW,4.15,True,0.0,LONG HRP | z=4.2 | Other | SL=380.7204 TP=565.9092
AAPL,,AVOID,292.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1,LOW,3.62,,,SHORT/SKIP | z=3.6
STZ,,AVOID,142.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1,LOW,2.91,,,SHORT/SKIP | z=2.9
CEG,,AVOID,250.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1,LOW,2.55,,,SHORT/SKIP | z=2.5
VST,,AVOID,146.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1,LOW,2.55,,,SHORT/SKIP | z=2.5
NEM,,AVOID,98.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1,LOW,2.43,,,SHORT/SKIP | z=2.4
PTC,,AVOID,136.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1,LOW,2.37,,,SHORT/SKIP | z=2.4
TTWO,,AVOID,210.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1,LOW,2.33,,,SHORT/SKIP | z=2.3
TRMB,,AVOID,53.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1,LOW,2.14,,,SHORT/SKIP | z=2.1
GILD,,AVOID,125.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1,LOW,1.92,,,SHORT/SKIP | z=1.9
MSFT,,AVOID,407.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1,LOW,1.92,,,SHORT/SKIP | z=1.9
LYB,,AVOID,62.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1,LOW,1.89,,,SHORT/SKIP | z=1.9
CRM,,AVOID,177.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1,LOW,1.8,,,SHORT/SKIP | z=1.8
SLV,,AVOID,59.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1,LOW,1.75,,,SHORT/SKIP | z=1.8
SNPS,,AVOID,469.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1,LOW,1.68,,,SHORT/SKIP | z=1.7
GEV,,AVOID,899.7136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,1,LOW,1.64,,,SHORT/SKIP | z=1.6
CRWD,,AVOID,641.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,LOW,1.64,,,SHORT/SKIP | z=1.6
ADBE,,AVOID,240.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,1,LOW,1.57,,,SHORT/SKIP | z=1.6
NVDA,,AVOID,205.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,1,LOW,1.55,,,SHORT/SKIP | z=1.6
CTVA,,AVOID,74.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1,LOW,1.49,,,SHORT/SKIP | z=1.5
FSLR,,AVOID,262.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,1,LOW,1.47,,,SHORT/SKIP | z=1.5
EBAY,,AVOID,107.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,1,LOW,1.41,,,SHORT/SKIP | z=1.4
CHTR,,AVOID,132.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,1,LOW,1.41,,,SHORT/SKIP | z=1.4
TMUS,,AVOID,180.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,1,LOW,1.39,,,SHORT/SKIP | z=1.4
ADSK,,AVOID,225.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,1,LOW,1.33,,,SHORT/SKIP | z=1.3
ON,,AVOID,118.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,1,LOW,1.32,,,SHORT/SKIP | z=1.3
ZBRA,,AVOID,234.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,1,LOW,1.3,,,SHORT/SKIP | z=1.3
CF,,AVOID,107.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1,LOW,1.3,,,SHORT/SKIP | z=1.3
EQT,,AVOID,52.5252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,1,LOW,1.29,,,SHORT/SKIP | z=1.3
ROP,,AVOID,335.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,1,LOW,1.28,,,SHORT/SKIP | z=1.3
TXN,,AVOID,287.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,1,LOW,1.28,,,SHORT/SKIP | z=1.3
T,,AVOID,22.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,1,LOW,1.27,,,SHORT/SKIP | z=1.3
BLK,,AVOID,1000.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1,LOW,1.22,,,SHORT/SKIP | z=1.2
KIM,,AVOID,24.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,1,LOW,1.19,,,SHORT/SKIP | z=1.2
DD,,AVOID,46.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,1,LOW,1.18,,,SHORT/SKIP | z=1.2
CBOE,,AVOID,278.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,1,LOW,1.13,,,SHORT/SKIP | z=1.1
GDDY,,AVOID,82.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,1,LOW,1.12,,,SHORT/SKIP | z=1.1
ARES,,AVOID,128.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,1,LOW,1.12,,,SHORT/SKIP | z=1.1
ACN,,AVOID,173.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,1,LOW,1.12,,,SHORT/SKIP | z=1.1
HON,,AVOID,215.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,1,LOW,1.11,,,SHORT/SKIP | z=1.1
EXE,,AVOID,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,1,LOW,1.09,,,SHORT/SKIP | z=1.1
CMCSA,,AVOID,23.755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,1,LOW,1.09,,,SHORT/SKIP | z=1.1
ADI,,AVOID,402.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,1,LOW,1.05,,,SHORT/SKIP | z=1.1
KEYS,,AVOID,330.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1,LOW,1.04,,,SHORT/SKIP | z=1.0
NXPI,,AVOID,299.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,1,LOW,1.03,,,SHORT/SKIP | z=1.0
MSI,,AVOID,412.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,1,LOW,1.0,,,SHORT/SKIP | z=1.0
AVGO,,AVOID,387.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,1,LOW,1.0,,,SHORT/SKIP | z=1.0
NFLX,,AVOID,81.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,1,LOW,0.98,,,SHORT/SKIP | z=1.0
MOS,,AVOID,21.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1,LOW,0.96,,,SHORT/SKIP | z=1.0
PWR,,AVOID,689.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,1,LOW,0.96,,,SHORT/SKIP | z=1.0
DIS,,AVOID,99.485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,1,LOW,0.95,,,SHORT/SKIP | z=0.9
LUV,,AVOID,42.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,1,LOW,0.94,,,SHORT/SKIP | z=0.9
DG,,AVOID,110.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,1,LOW,0.94,,,SHORT/SKIP | z=0.9
PSX,,AVOID,178.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,1,LOW,0.94,,,SHORT/SKIP | z=0.9
BXP,,AVOID,67.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1,1,LOW,0.93,,,SHORT/SKIP | z=0.9
UAL,,AVOID,108.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,1,LOW,0.93,,,SHORT/SKIP | z=0.9
CPRT,,AVOID,31.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,1,LOW,0.91,,,SHORT/SKIP | z=0.9
LYV,,AVOID,159.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6,1,LOW,0.9,,,SHORT/SKIP | z=0.9
A,,AVOID,136.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,1,LOW,0.89,,,SHORT/SKIP | z=0.9
AMCR,,AVOID,38.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1,LOW,0.89,,,SHORT/SKIP | z=0.9
ABNB,,AVOID,134.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2,1,LOW,0.88,,,SHORT/SKIP | z=0.9
