ticker,sector,action,entry_price,stop_loss,take_profit,rr_ratio,shares,size_eur,risk_eur,weight_pct,score,quintile,confidence,z_score,viable,remaining_cash_after,notes
DDOG,Other,BUY,233.52,214.0906,272.3788,2.0,0.472025,110.22727272727273,9.17,15.75,100.0,5,HIGH,4.89,True,589.77,LONG HRP | z=4.9 | Other | SL=214.0906 TP=272.3788
MU,Tech,BUY,938.5001,837.3774,1140.7456,2.0,0.088391,82.95454545454545,8.94,11.85,99.8,5,HIGH,4.75,True,506.82,LONG HRP | z=4.8 | Tech | SL=837.3774 TP=1140.7456
PANW,Tech,BUY,270.805,251.9871,308.4407,2.0,0.52453,142.04545454545453,9.87,20.29,99.6,5,HIGH,4.32,True,364.77,LONG HRP | z=4.3 | Tech | SL=251.9871 TP=308.4407
FTNT,Other,BUY,146.84,138.7866,162.9467,2.0,0.797095,117.04545454545453,6.42,16.72,99.4,5,HIGH,4.23,True,247.73,LONG HRP | z=4.2 | Other | SL=138.7866 TP=162.9467
SMCI,Other,BUY,42.73,38.0466,52.0968,2.0,1.196732,51.13636363636363,5.6,7.31,99.3,5,HIGH,3.74,True,196.59,LONG HRP | z=3.7 | Other | SL=38.0466 TP=52.0968
CRWD,Other,BUY,682.6559,632.0777,783.8122,2.0,0.153145,104.54545454545455,7.75,14.94,99.1,5,HIGH,3.66,True,92.05,LONG HRP | z=3.7 | Other | SL=632.0777 TP=783.8122
MCHP,Other,BUY,91.095,84.0745,105.1361,2.0,1.010434,92.04545454545455,7.09,13.15,98.9,5,HIGH,3.37,True,0.0,LONG HRP | z=3.4 | Other | SL=84.0745 TP=105.1361
HCA,,AVOID,363.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1,HIGH,2.31,,,SHORT/SKIP | z=2.3
HSIC,,AVOID,77.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1,HIGH,1.93,,,SHORT/SKIP | z=1.9
CAH,,AVOID,205.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1,HIGH,1.87,,,SHORT/SKIP | z=1.9
NVR,,AVOID,6237.6602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1,HIGH,1.57,,,SHORT/SKIP | z=1.6
WFC,,AVOID,81.935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1,MED,1.47,,,SHORT/SKIP | z=1.5
DHR,,AVOID,185.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1,MED,1.44,,,SHORT/SKIP | z=1.4
CTAS,,AVOID,177.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1,MED,1.42,,,SHORT/SKIP | z=1.4
ABT,,AVOID,91.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1,MED,1.42,,,SHORT/SKIP | z=1.4
FBTC,,AVOID,55.605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1,MED,1.41,,,SHORT/SKIP | z=1.4
BITO,,AVOID,8.705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1,MED,1.4,,,SHORT/SKIP | z=1.4
CBOE,,AVOID,277.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1,MED,1.35,,,SHORT/SKIP | z=1.4
AMGN,,AVOID,347.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1,MED,1.33,,,SHORT/SKIP | z=1.3
LMT,,AVOID,524.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1,MED,1.32,,,SHORT/SKIP | z=1.3
LHX,,AVOID,305.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1,MED,1.28,,,SHORT/SKIP | z=1.3
