ticker,weight,score,sector
AAPL,0.01,88.8,Tech
ADI,0.0078,63.4,Other
AIG,0.011,5.0,Other
AKAM,0.0078,99.3,Other
ALB,0.0042,82.2,Other
ALGN,0.0063,24.9,Other
AMGN,0.0107,28.6,Health
AMZN,0.0078,89.2,ConsDisc
APO,0.0069,87.3,Other
AVY,0.0107,31.6,Other
AWK,0.0112,15.7,Other
AXON,0.0051,53.6,Other
AXP,0.0084,44.9,Fin
BEN,0.0081,75.0,Other
BKNG,0.0103,16.1,ConsDisc
BMY,0.0089,38.1,Other
BR,0.0116,23.6,Other
CAH,0.0107,65.6,Other
CB,0.0134,36.6,Other
CBOE,0.0109,32.7,Other
CBRE,0.0094,25.4,Other
CHD,0.0112,80.9,Other
CINF,0.0115,30.3,Other
COO,0.0089,10.1,Other
CPAY,0.0089,95.5,Other
CSCO,0.0128,90.7,Other
CSX,0.0098,92.0,Other
CTSH,0.0116,34.4,Other
CVNA,0.0045,18.3,Other
DAL,0.0067,62.1,Other
DASH,0.0066,2.8,Other
DDOG,0.0064,99.8,Other
DE,0.0088,14.4,Indust
DOV,0.0106,16.4,Other
DXCM,0.0056,92.5,Other
ECL,0.0119,26.0,Other
EW,0.0069,60.7,Other
EXPE,0.0071,6.2,Other
FDS,0.0092,82.6,Other
FIS,0.0101,14.6,Other
FISV,0.0057,30.5,Other
FRT,0.0117,92.7,Other
GILD,0.0102,13.6,Health
GL,0.0107,72.0,Other
GM,0.0083,55.7,Other
GOOG,0.0091,97.8,Comm
GPN,0.0071,38.5,Other
GWW,0.0109,85.0,Other
HBAN,0.0091,46.2,Other
HIG,0.0117,13.5,Other
HPE,0.006,94.6,Other
HRL,0.0116,85.2,Other
IBM,0.0087,83.7,Other
IDXX,0.0077,22.6,Other
IEX,0.0088,67.9,Other
IQV,0.007,69.0,Other
ISRG,0.009,7.5,Health
JBHT,0.0078,97.0,Other
JKHY,0.0119,7.7,Other
JNJ,0.0129,55.5,Health
KDP,0.0119,93.1,Other
KKR,0.0065,26.5,Other
KO,0.0141,87.5,ConsStap
KVUE,0.0079,64.5,Other
L,0.013,18.9,Other
LH,0.0103,56.6,Other
LLY,0.0071,96.3,Health
LUV,0.0073,43.4,Other
LVS,0.0082,21.7,Other
MCD,0.0142,38.7,ConsDisc
MDT,0.0127,5.2,Health
MGM,0.0064,98.7,Other
MNST,0.0115,79.8,Other
MO,0.0118,83.9,ConsStap
NDAQ,0.0105,50.1,Other
NTAP,0.0076,97.6,Other
NVR,0.0098,8.2,Other
ORLY,0.0115,62.6,Other
PEP,0.0119,26.7,ConsStap
PLTR,0.004,37.9,Tech
PODD,0.0077,17.2,Other
PYPL,0.0078,4.7,Other
REGN,0.0078,1.1,Other
ROL,0.0116,26.2,Other
SOLV,0.0095,93.5,Other
SPG,0.0114,70.7,Other
STE,0.0122,13.8,Other
STT,0.0097,75.9,Other
SYK,0.0109,6.4,Health
TJX,0.0135,59.3,ConsDisc
TKO,0.0089,53.3,Other
TRMB,0.0085,3.4,Other
TRV,0.0103,15.9,Other
TSLA,0.0044,36.3,ConsDisc
TXT,0.0101,77.8,Other
VLTO,0.0115,9.3,Other
VRTX,0.0086,8.0,Health
VTR,0.0128,29.2,Other
WAT,0.0079,70.1,Other
WBD,0.0051,4.5,Other
WM,0.0121,34.2,Other
XLF,0.0124,52.9,Fin
XLP,0.0163,75.5,ConsStap
XLY,0.0121,59.8,ConsDisc
YUM,0.0125,42.1,Other
