Día,Valor,Drawdown,Régimen
0,9920.25,-0.80,EXPANSION
1,9934.17,-0.66,EXPANSION
2,9930.77,-0.69,EXPANSION
3,9927.41,-0.73,EXPANSION
4,9900.61,-0.99,EXPANSION
5,9976.55,-0.23,EXPANSION
6,10076.35,0.00,EXPANSION
7,10076.77,0.00,EXPANSION
8,9973.59,-1.02,EXPANSION
9,9972.52,-1.03,EXPANSION
10,9972.31,-1.04,EXPANSION
11,9951.36,-1.24,EXPANSION
12,9836.31,-2.39,EXPANSION
13,9791.85,-2.83,EXPANSION
14,9809.14,-2.66,EXPANSION
15,9782.50,-2.92,EXPANSION
16,9781.94,-2.93,EXPANSION
17,9780.82,-2.94,EXPANSION
18,9600.89,-4.72,EXPANSION
19,9597.54,-4.76,EXPANSION
20,9752.93,-3.21,EXPANSION
21,9754.20,-3.20,EXPANSION
22,9911.69,-1.64,EXPANSION
23,9912.70,-1.63,EXPANSION
24,9912.37,-1.63,EXPANSION
25,10053.99,-0.23,EXPANSION
26,10080.92,0.00,EXPANSION
27,10195.40,0.00,EXPANSION
28,10270.85,0.00,EXPANSION
29,10295.82,0.00,EXPANSION
30,10296.54,0.00,EXPANSION
31,10298.03,0.00,EXPANSION
32,10273.87,-0.23,EXPANSION
33,10220.12,-0.76,EXPANSION
34,10297.29,-0.01,EXPANSION
35,10403.70,0.00,EXPANSION
36,10417.82,0.00,EXPANSION
37,10423.00,0.00,EXPANSION
38,10417.17,-0.06,EXPANSION
39,10389.55,-0.32,EXPANSION
40,10387.26,-0.34,EXPANSION
41,10313.83,-1.05,EXPANSION
42,10468.01,0.00,EXPANSION
43,10554.07,0.00,EXPANSION
44,10557.39,0.00,EXPANSION
45,10558.66,0.00,EXPANSION
46,10514.24,-0.42,EXPANSION
47,10470.76,-0.83,EXPANSION
48,10497.42,-0.58,EXPANSION
49,10421.56,-1.30,EXPANSION
50,10413.48,-1.38,EXPANSION
51,10406.07,-1.45,EXPANSION
52,10412.36,-1.39,EXPANSION
53,10496.34,-0.59,EXPANSION
54,10539.42,-0.18,EXPANSION
55,10525.43,-0.31,EXPANSION
56,10458.25,-0.95,EXPANSION
57,10434.36,-1.18,EXPANSION
58,10440.00,-1.12,EXPANSION
59,10434.03,-1.18,EXPANSION
60,10334.46,-2.12,EXPANSION
61,10279.76,-2.64,EXPANSION
62,10258.14,-2.85,EXPANSION
63,10177.47,-3.61,EXPANSION
64,10080.40,-4.53,EXPANSION
65,10065.36,-4.67,EXPANSION
66,10015.03,-5.15,EXPANSION
67,10136.27,-4.00,EXPANSION
68,10130.66,-4.05,EXPANSION
69,10204.80,-3.35,EXPANSION
70,10216.55,-3.24,EXPANSION
71,10210.01,-3.30,EXPANSION
72,10230.33,-3.11,EXPANSION
73,10220.55,-3.20,EXPANSION
74,10164.54,-3.73,EXPANSION
75,10194.50,-3.45,EXPANSION
76,10213.52,-3.27,EXPANSION
77,10313.05,-2.33,EXPANSION
78,10300.20,-2.45,EXPANSION
79,10297.72,-2.47,EXPANSION
80,10350.10,-1.98,EXPANSION
81,10399.18,-1.51,EXPANSION
82,10420.41,-1.31,EXPANSION
83,10329.69,-2.17,EXPANSION
84,10278.35,-2.65,EXPANSION
85,10419.65,-1.32,EXPANSION
86,10516.24,-0.40,EXPANSION
87,10515.66,-0.41,EXPANSION
88,10441.66,-1.11,EXPANSION
89,10479.11,-0.75,EXPANSION
90,10418.84,-1.32,EXPANSION
91,10431.15,-1.21,EXPANSION
92,10412.50,-1.38,EXPANSION
93,10361.50,-1.87,EXPANSION
94,10357.64,-1.90,EXPANSION
95,10398.45,-1.52,EXPANSION
96,10532.69,-0.25,EXPANSION
97,10610.12,0.00,EXPANSION
