Día,Valor,Drawdown,Régimen
0,9942.32,-0.58,EXPANSION
1,9958.68,-0.41,EXPANSION
2,9954.68,-0.45,EXPANSION
3,9950.74,-0.49,EXPANSION
4,9919.20,-0.81,EXPANSION
5,10008.50,0.00,EXPANSION
6,10126.01,0.00,EXPANSION
7,10126.50,0.00,EXPANSION
8,10004.81,-1.20,EXPANSION
9,10003.55,-1.21,EXPANSION
10,10003.31,-1.22,EXPANSION
11,9978.64,-1.46,EXPANSION
12,9843.23,-2.80,EXPANSION
13,9791.01,-3.31,EXPANSION
14,9811.30,-3.11,EXPANSION
15,9780.03,-3.42,EXPANSION
16,9779.37,-3.43,EXPANSION
17,9778.06,-3.44,EXPANSION
18,9566.93,-5.53,EXPANSION
19,9563.02,-5.56,EXPANSION
20,9744.75,-3.77,EXPANSION
21,9746.23,-3.76,EXPANSION
22,9930.92,-1.93,EXPANSION
23,9932.11,-1.92,EXPANSION
24,9931.72,-1.92,EXPANSION
25,10098.27,-0.28,EXPANSION
26,10130.02,0.00,EXPANSION
27,10265.03,0.00,EXPANSION
28,10354.19,0.00,EXPANSION
29,10383.74,0.00,EXPANSION
30,10384.59,0.00,EXPANSION
31,10386.36,0.00,EXPANSION
32,10357.76,-0.28,EXPANSION
33,10294.16,-0.89,EXPANSION
34,10385.38,-0.01,EXPANSION
35,10511.35,0.00,EXPANSION
36,10528.09,0.00,EXPANSION
37,10534.24,0.00,EXPANSION
38,10527.32,-0.07,EXPANSION
39,10494.56,-0.38,EXPANSION
40,10491.85,-0.40,EXPANSION
41,10404.80,-1.23,EXPANSION
42,10587.35,0.00,EXPANSION
43,10689.51,0.00,EXPANSION
44,10693.45,0.00,EXPANSION
45,10694.97,0.00,EXPANSION
46,10642.16,-0.49,EXPANSION
47,10590.51,-0.98,EXPANSION
48,10622.16,-0.68,EXPANSION
49,10532.06,-1.52,EXPANSION
50,10522.47,-1.61,EXPANSION
51,10513.69,-1.70,EXPANSION
52,10521.14,-1.63,EXPANSION
53,10620.75,-0.69,EXPANSION
54,10671.90,-0.22,EXPANSION
55,10655.27,-0.37,EXPANSION
56,10575.46,-1.12,EXPANSION
57,10547.10,-1.38,EXPANSION
58,10553.79,-1.32,EXPANSION
59,10546.71,-1.39,EXPANSION
60,10428.59,-2.49,EXPANSION
61,10363.80,-3.10,EXPANSION
62,10338.21,-3.34,EXPANSION
63,10278.92,-3.89,EXPANSION
64,10166.15,-4.94,EXPANSION
65,10148.70,-5.11,EXPANSION
66,10090.32,-5.65,EXPANSION
67,10230.84,-4.34,EXPANSION
68,10224.33,-4.40,EXPANSION
69,10310.40,-3.60,EXPANSION
70,10324.06,-3.47,EXPANSION
71,10316.45,-3.54,EXPANSION
72,10340.07,-3.32,EXPANSION
73,10328.70,-3.42,EXPANSION
74,10263.59,-4.03,EXPANSION
75,10298.39,-3.71,EXPANSION
76,10320.49,-3.50,EXPANSION
77,10436.18,-2.42,EXPANSION
78,10421.22,-2.56,EXPANSION
79,10418.33,-2.59,EXPANSION
80,10479.29,-2.02,EXPANSION
81,10536.45,-1.48,EXPANSION
82,10561.19,-1.25,EXPANSION
83,10455.43,-2.24,EXPANSION
84,10395.65,-2.80,EXPANSION
85,10560.05,-1.26,EXPANSION
86,10672.66,-0.21,EXPANSION
87,10671.97,-0.22,EXPANSION
88,10585.59,-1.02,EXPANSION
89,10629.26,-0.61,EXPANSION
90,10558.94,-1.27,EXPANSION
91,10573.29,-1.14,EXPANSION
92,10551.55,-1.34,EXPANSION
93,10492.10,-1.90,EXPANSION
94,10487.60,-1.94,EXPANSION
95,10535.13,-1.49,EXPANSION
96,10691.58,-0.03,EXPANSION
97,10782.00,0.00,EXPANSION
98,10654.46,-1.18,EXPANSION
99,10627.97,-1.43,EXPANSION
100,10623.51,-1.47,EXPANSION
101,10555.69,-2.10,EXPANSION
102,10637.17,-1.34,EXPANSION
103,10692.85,-0.83,EXPANSION
104,10775.27,-0.06,EXPANSION
105,10832.70,0.00,EXPANSION
106,10835.09,0.00,EXPANSION
107,10697.92,-1.27,EXPANSION
108,10719.30,-1.07,EXPANSION
109,10683.61,-1.40,EXPANSION
110,10798.99,-0.33,EXPANSION
111,10688.59,-1.35,EXPANSION
112,10659.11,-1.62,EXPANSION
113,10673.13,-1.49,EXPANSION
114,10669.82,-1.53,EXPANSION
115,10657.14,-1.64,EXPANSION
116,10566.47,-2.48,EXPANSION
117,10551.11,-2.62,EXPANSION
118,10434.10,-3.70,EXPANSION
119,10339.37,-4.58,EXPANSION
120,10257.76,-5.33,EXPANSION
121,10238.65,-5.50,EXPANSION
122,10239.95,-5.49,EXPANSION
123,10231.39,-5.57,EXPANSION
124,10223.51,-5.64,EXPANSION
125,10040.71,-7.33,EXPANSION
126,10005.32,-7.66,EXPANSION
127,9542.94,-11.93,EXPANSION
128,9633.50,-11.09,EXPANSION
129,9614.11,-11.27,EXPANSION
130,9632.35,-11.10,EXPANSION
131,9638.75,-11.04,EXPANSION
132,9746.65,-10.05,EXPANSION
133,9765.88,-9.87,EXPANSION
134,9841.33,-9.17,EXPANSION
135,9860.49,-8.99,EXPANSION
136,9919.18,-8.45,EXPANSION
137,9786.97,-9.67,EXPANSION
