Día,Valor,Drawdown,Régimen,Sharpe252,Efectivo
0,10001.90,0.00,EXPANSION,,0.0
1,10001.67,-0.00,EXPANSION,,60.0
2,9989.05,-0.13,EXPANSION,,60.0
3,9982.83,-0.19,EXPANSION,,60.0
4,9973.10,-0.29,EXPANSION,,60.0
5,9995.41,-0.06,EXPANSION,,60.0
6,10041.23,0.00,EXPANSION,,60.0
7,10046.74,0.00,EXPANSION,,60.0
8,10015.41,-0.31,EXPANSION,,60.0
9,10013.43,-0.33,EXPANSION,,60.0
10,10013.05,-0.34,EXPANSION,,60.0
11,9990.62,-0.56,EXPANSION,,60.0
12,9945.84,-1.00,EXPANSION,,60.0
13,9928.80,-1.17,EXPANSION,,60.0
14,9952.94,-0.93,EXPANSION,,60.0
15,9949.09,-0.97,EXPANSION,,60.0
16,9948.03,-0.98,EXPANSION,,60.0
17,9945.95,-1.00,EXPANSION,,60.0
18,9876.32,-1.70,EXPANSION,,60.0
19,9869.42,-1.76,EXPANSION,,60.0
20,9919.81,-1.26,EXPANSION,,60.0
21,9918.51,-1.28,EXPANSION,,60.0
22,9978.89,-0.68,EXPANSION,,60.0
23,9980.77,-0.66,EXPANSION,,60.0
24,9980.16,-0.66,EXPANSION,,60.0
25,10038.31,-0.08,EXPANSION,,60.0
26,10065.20,0.00,EXPANSION,,60.0
27,10106.76,0.00,EXPANSION,,60.0
28,10129.72,0.00,EXPANSION,,60.0
29,10145.97,0.00,EXPANSION,,60.0
30,10147.28,0.00,EXPANSION,,60.0
31,10149.99,0.00,EXPANSION,,60.0
32,10137.02,-0.13,EXPANSION,,60.0
33,10126.18,-0.23,EXPANSION,,60.0
34,10173.70,0.00,EXPANSION,,60.0
35,10205.91,0.00,EXPANSION,,60.0
36,10210.46,0.00,EXPANSION,,60.0
37,10219.84,0.00,EXPANSION,,60.0
38,10209.29,-0.10,EXPANSION,,60.0
39,10191.41,-0.28,EXPANSION,,60.0
40,10201.71,-0.18,EXPANSION,,60.0
41,10164.55,-0.54,EXPANSION,,60.0
42,10214.49,-0.05,EXPANSION,,60.0
43,10230.61,0.00,EXPANSION,,60.0
44,10236.54,0.00,EXPANSION,,60.0
45,10238.82,0.00,EXPANSION,,60.0
46,10222.30,-0.16,EXPANSION,,60.0
47,10210.32,-0.28,EXPANSION,,60.0
48,10218.01,-0.20,EXPANSION,,60.0
49,10195.32,-0.42,EXPANSION,,60.0
50,10201.36,-0.37,EXPANSION,,60.0
51,10187.99,-0.50,EXPANSION,,60.0
52,10199.33,-0.39,EXPANSION,,60.0
53,10247.13,0.00,EXPANSION,,60.0
54,10282.78,0.00,EXPANSION,,60.0
55,10279.24,-0.03,EXPANSION,,60.0
56,10241.29,-0.40,EXPANSION,,60.0
57,10214.82,-0.66,EXPANSION,,60.0
58,10225.00,-0.56,EXPANSION,,60.0
59,10214.22,-0.67,EXPANSION,,60.0
60,10187.13,-0.93,EXPANSION,,60.0
61,10137.22,-1.42,EXPANSION,,60.0
62,10109.90,-1.68,EXPANSION,,60.0
63,10096.19,-1.81,EXPANSION,,60.0
64,10011.32,-2.64,EXPANSION,,0.0
65,9994.05,-2.81,EXPANSION,,0.0
66,9936.30,-3.37,EXPANSION,,0.0
67,10061.63,-2.15,EXPANSION,,0.0
68,10054.82,-2.22,EXPANSION,,0.0
69,10109.47,-1.69,EXPANSION,,0.0
70,10123.25,-1.55,EXPANSION,,0.0
71,10101.35,-1.76,EXPANSION,,0.0
72,10124.59,-1.54,EXPANSION,,0.0
73,10113.41,-1.65,EXPANSION,,0.0
74,10036.44,-2.40,EXPANSION,,0.0
75,10084.86,-1.92,EXPANSION,,0.0
76,10104.00,-1.74,EXPANSION,,0.0
77,10217.79,-0.63,EXPANSION,,0.0
78,10196.96,-0.83,EXPANSION,,0.0
79,10194.12,-0.86,EXPANSION,,0.0
80,10254.04,-0.28,EXPANSION,,0.0
81,10330.14,0.00,EXPANSION,,0.0
82,10349.76,0.00,EXPANSION,,0.0
83,10253.85,-0.93,EXPANSION,,0.0
84,10216.53,-1.29,EXPANSION,,0.0
85,10340.87,-0.09,EXPANSION,,0.0
86,10451.66,0.00,EXPANSION,,0.0
87,10450.98,-0.01,EXPANSION,,0.0
88,10355.18,-0.92,EXPANSION,,0.0
89,10385.54,-0.63,EXPANSION,,0.0
90,10339.09,-1.08,EXPANSION,,0.0
91,10348.40,-0.99,EXPANSION,,0.0
92,10341.80,-1.05,EXPANSION,,0.0
93,10283.26,-1.61,EXPANSION,,0.0
94,10278.83,-1.65,EXPANSION,,0.0
95,10309.21,-1.36,EXPANSION,,0.0
96,10464.32,0.00,EXPANSION,,0.0
97,10539.42,0.00,EXPANSION,,0.0
98,10437.00,-0.97,EXPANSION,,0.0
99,10439.55,-0.95,EXPANSION,,0.0
100,10435.15,-0.99,EXPANSION,,0.0
101,10368.22,-1.62,EXPANSION,,0.0
102,10405.61,-1.27,EXPANSION,,0.0
103,10467.93,-0.68,EXPANSION,,0.0
104,10555.39,0.00,EXPANSION,,0.0
105,10601.23,0.00,EXPANSION,,0.0
106,10603.58,0.00,EXPANSION,,0.0
107,10468.71,-1.27,EXPANSION,,0.0
108,10489.74,-1.07,EXPANSION,,0.0
109,10462.90,-1.33,EXPANSION,,0.0
110,10563.10,-0.38,EXPANSION,,0.0
111,10453.53,-1.42,EXPANSION,,0.0
112,10452.56,-1.42,EXPANSION,,0.0
113,10466.37,-1.29,EXPANSION,,0.0
114,10463.11,-1.32,EXPANSION,,0.0
115,10450.62,-1.44,EXPANSION,,0.0
116,10380.34,-2.11,EXPANSION,,0.0
117,10344.82,-2.44,EXPANSION,,0.0
118,10224.31,-3.58,EXPANSION,,0.0
119,10152.50,-4.25,EXPANSION,,0.0
120,10107.05,-4.68,EXPANSION,,0.0
121,10088.13,-4.86,EXPANSION,,0.0
122,10089.42,-4.85,EXPANSION,,0.0
123,10068.98,-5.04,EXPANSION,,0.0
124,10031.24,-5.40,EXPANSION,,0.0
125,9912.13,-6.52,EXPANSION,,0.0
126,9928.98,-6.36,EXPANSION,,0.0
127,9753.07,-8.02,EXPANSION,,60.0
128,9787.42,-7.70,EXPANSION,,60.0
129,9780.11,-7.77,EXPANSION,,60.0
130,9786.99,-7.70,EXPANSION,,60.0
131,9792.76,-7.65,EXPANSION,,60.0
132,9832.60,-7.27,EXPANSION,,60.0
133,9844.43,-7.16,EXPANSION,,60.0
134,9870.20,-6.92,EXPANSION,,60.0
135,9877.33,-6.85,EXPANSION,,60.0
136,9899.15,-6.64,EXPANSION,,60.0
137,9853.14,-7.08,EXPANSION,,60.0
138,9903.85,-6.60,EXPANSION,,60.0
139,9892.70,-6.70,EXPANSION,,60.0
140,9889.37,-6.74,EXPANSION,,60.0
141,9959.54,-6.07,EXPANSION,,60.0
142,9957.77,-6.09,EXPANSION,,60.0
143,9950.87,-6.16,EXPANSION,,60.0
144,9963.50,-6.04,EXPANSION,,60.0
145,9900.64,-6.63,EXPANSION,,60.0
146,9944.01,-6.22,EXPANSION,,60.0
147,9987.90,-5.81,EXPANSION,,60.0
148,9951.61,-6.15,EXPANSION,,60.0
149,9944.47,-6.22,EXPANSION,,60.0
150,9944.55,-6.22,EXPANSION,,60.0
151,9898.31,-6.65,EXPANSION,,60.0
152,9859.77,-7.01,EXPANSION,,60.0
153,9865.69,-6.96,EXPANSION,,60.0
154,9865.05,-6.96,EXPANSION,,60.0
155,9917.09,-6.47,EXPANSION,,60.0
156,9922.51,-6.42,EXPANSION,,60.0
157,9933.27,-6.32,EXPANSION,,60.0
158,9928.52,-6.37,EXPANSION,,60.0
159,9969.92,-5.98,EXPANSION,,60.0
160,10038.17,-5.33,EXPANSION,,60.0
161,10055.31,-5.17,EXPANSION,,60.0
162,10044.46,-5.27,EXPANSION,,60.0
163,10055.26,-5.17,EXPANSION,,60.0
164,10056.30,-5.16,EXPANSION,,60.0
165,10089.10,-4.85,EXPANSION,,60.0
166,10042.79,-5.29,EXPANSION,,60.0
167,10056.03,-5.16,EXPANSION,,60.0
168,10069.24,-5.04,EXPANSION,,60.0
169,10068.19,-5.05,EXPANSION,,60.0
170,10068.43,-5.05,EXPANSION,,60.0
171,10069.06,-5.04,EXPANSION,,60.0
172,10089.81,-4.85,EXPANSION,,60.0
173,10151.15,-4.27,EXPANSION,,60.0
174,10170.25,-4.09,EXPANSION,,60.0
175,10216.41,-3.65,EXPANSION,,60.0
176,10233.98,-3.49,EXPANSION,,60.0
177,10226.85,-3.55,EXPANSION,,60.0
178,10231.88,-3.51,EXPANSION,,60.0
179,10253.99,-3.30,EXPANSION,,60.0
180,10206.43,-3.75,EXPANSION,,60.0
181,10211.46,-3.70,EXPANSION,,60.0
182,10224.25,-3.58,EXPANSION,,60.0
183,10267.20,-3.17,EXPANSION,,60.0
184,10260.43,-3.24,EXPANSION,,60.0
185,10262.11,-3.22,EXPANSION,,60.0
186,10233.92,-3.49,EXPANSION,,60.0
187,10221.69,-3.60,EXPANSION,,60.0
188,10285.78,-3.00,EXPANSION,,60.0
189,10320.50,-2.67,EXPANSION,,60.0
190,10309.20,-2.78,EXPANSION,,0.0
191,10313.02,-2.74,EXPANSION,,0.0
192,10327.09,-2.61,EXPANSION,,0.0
193,10313.58,-2.73,EXPANSION,,0.0
194,10320.52,-2.67,EXPANSION,,0.0
195,10174.92,-4.04,EXPANSION,,0.0
196,10156.73,-4.21,EXPANSION,,0.0
197,10159.96,-4.18,EXPANSION,,0.0
198,10163.13,-4.15,EXPANSION,,0.0
199,10199.41,-3.81,EXPANSION,,0.0
200,10211.74,-3.70,EXPANSION,,0.0
201,10287.03,-2.99,EXPANSION,,0.0
202,10322.27,-2.65,EXPANSION,,0.0
203,10317.32,-2.70,EXPANSION,,0.0
204,10317.45,-2.70,EXPANSION,,0.0
205,10329.62,-2.58,EXPANSION,,0.0
206,10329.75,-2.58,EXPANSION,,0.0
207,10270.07,-3.15,EXPANSION,,0.0
208,10216.42,-3.65,EXPANSION,,0.0
209,10284.10,-3.01,EXPANSION,,0.0
210,10214.87,-3.67,EXPANSION,,0.0
211,10278.85,-3.06,EXPANSION,,0.0
212,10274.97,-3.10,EXPANSION,,0.0
213,10283.90,-3.01,EXPANSION,,0.0
214,10349.76,-2.39,EXPANSION,,0.0
215,10447.72,-1.47,EXPANSION,,0.0
216,10524.02,-0.75,EXPANSION,,0.0
