Día,Valor,Drawdown,Régimen
0,10039.52,0.00,EXPANSION
1,10057.92,0.00,EXPANSION
2,10030.82,-0.27,EXPANSION
3,10004.14,-0.53,EXPANSION
4,9977.70,-0.80,EXPANSION
5,10042.14,-0.16,EXPANSION
6,10138.50,0.00,EXPANSION
7,10155.60,0.00,EXPANSION
8,10087.01,-0.68,EXPANSION
9,10078.50,-0.76,EXPANSION
10,10076.88,-0.78,EXPANSION
11,10030.20,-1.23,EXPANSION
12,9939.85,-2.12,EXPANSION
13,9905.65,-2.46,EXPANSION
14,9966.14,-1.87,EXPANSION
15,9935.89,-2.16,EXPANSION
16,9931.39,-2.21,EXPANSION
17,9922.49,-2.30,EXPANSION
18,9773.22,-3.77,EXPANSION
19,9750.93,-3.98,EXPANSION
20,9874.90,-2.76,EXPANSION
21,9881.82,-2.70,EXPANSION
22,10045.35,-1.09,EXPANSION
23,10053.42,-1.01,EXPANSION
24,10050.79,-1.03,EXPANSION
25,10189.61,0.00,EXPANSION
26,10253.82,0.00,EXPANSION
27,10338.40,0.00,EXPANSION
28,10398.89,0.00,EXPANSION
29,10450.45,0.00,EXPANSION
30,10456.19,0.00,EXPANSION
31,10468.13,0.00,EXPANSION
32,10441.47,-0.25,EXPANSION
33,10423.05,-0.43,EXPANSION
34,10516.95,0.00,EXPANSION
35,10620.70,0.00,EXPANSION
36,10668.04,0.00,EXPANSION
37,10709.86,0.00,EXPANSION
38,10662.65,-0.44,EXPANSION
39,10642.64,-0.63,EXPANSION
40,10676.21,-0.31,EXPANSION
41,10582.67,-1.19,EXPANSION
42,10758.88,0.00,EXPANSION
43,10850.05,0.00,EXPANSION
44,10876.89,0.00,EXPANSION
45,10887.27,0.00,EXPANSION
46,10858.73,-0.26,EXPANSION
47,10860.45,-0.25,EXPANSION
48,10928.79,0.00,EXPANSION
49,10891.52,-0.34,EXPANSION
50,10932.31,0.00,EXPANSION
51,10871.10,-0.56,EXPANSION
52,10922.80,-0.09,EXPANSION
53,11131.49,0.00,EXPANSION
54,11303.14,0.00,EXPANSION
55,11305.11,0.00,EXPANSION
56,11157.57,-1.31,EXPANSION
57,11075.81,-2.03,EXPANSION
58,11122.92,-1.61,EXPANSION
59,11072.87,-2.05,EXPANSION
60,11007.16,-2.64,EXPANSION
61,10809.30,-4.39,EXPANSION
62,10686.03,-5.48,EXPANSION
63,10715.42,-5.22,EXPANSION
64,10597.03,-6.26,EXPANSION
65,10581.65,-6.40,EXPANSION
66,10530.17,-6.85,EXPANSION
67,10665.91,-5.65,EXPANSION
68,10648.84,-5.81,EXPANSION
69,10745.23,-4.95,EXPANSION
70,10762.17,-4.80,EXPANSION
71,10752.84,-4.89,EXPANSION
72,10773.66,-4.70,EXPANSION
73,10763.65,-4.79,EXPANSION
74,10703.24,-5.32,EXPANSION
75,10737.74,-5.02,EXPANSION
76,10756.94,-4.85,EXPANSION
77,10858.92,-3.95,EXPANSION
78,10846.42,-4.06,EXPANSION
79,10843.87,-4.08,EXPANSION
80,10897.53,-3.61,EXPANSION
81,10945.90,-3.18,EXPANSION
82,10981.10,-2.87,EXPANSION
83,10869.58,-3.85,EXPANSION
84,10801.95,-4.45,EXPANSION
85,10987.12,-2.81,EXPANSION
86,11086.20,-1.94,EXPANSION
87,11085.60,-1.94,EXPANSION
88,10993.95,-2.75,EXPANSION
89,11033.40,-2.40,EXPANSION
90,10957.90,-3.07,EXPANSION
91,10979.39,-2.88,EXPANSION
92,10940.88,-3.22,EXPANSION
93,10888.75,-3.68,EXPANSION
94,10884.80,-3.72,EXPANSION
95,10923.85,-3.37,EXPANSION
96,11065.81,-2.12,EXPANSION
97,11167.11,-1.22,EXPANSION
98,11027.39,-2.46,EXPANSION
99,10993.01,-2.76,EXPANSION
100,10989.11,-2.80,EXPANSION
101,10929.78,-3.32,EXPANSION
102,11016.92,-2.55,EXPANSION
103,11075.46,-2.03,EXPANSION
104,11155.31,-1.33,EXPANSION
105,11210.12,-0.84,EXPANSION
106,11212.21,-0.82,EXPANSION
107,11092.16,-1.88,EXPANSION
108,11110.91,-1.72,EXPANSION
109,11074.88,-2.04,EXPANSION
110,11193.43,-0.99,EXPANSION
111,11086.20,-1.94,EXPANSION
112,11052.89,-2.23,EXPANSION
113,11065.18,-2.12,EXPANSION
114,11062.28,-2.15,EXPANSION
115,11051.17,-2.25,EXPANSION
116,10964.83,-3.01,EXPANSION
117,10953.90,-3.11,EXPANSION
