Date,ERP,Corr,ExpBase,ExpERP,ExpComb,DDBase,DDERP,DDComb,ERPTrigger,CorrPanic
2015-09-10,3.28,61.7,100.00,100.00,100.00,0.00,0.00,0.00,0,0
2015-09-11,3.32,60.2,100.00,100.00,100.00,0.00,0.00,0.00,0,0
2015-09-12,3.32,60.2,100.00,100.00,100.00,-0.27,-0.27,-0.27,0,0
2015-09-13,3.32,60.2,100.00,100.00,100.00,-0.53,-0.53,-0.53,0,0
2015-09-14,3.32,61.5,100.00,100.00,100.00,-0.80,-0.80,-0.80,0,0
2015-09-15,3.22,59.3,100.00,100.00,100.00,-0.16,-0.16,-0.16,0,0
2015-09-16,3.20,57.8,100.00,100.00,100.00,0.00,0.00,0.00,0,0
2015-09-17,3.28,57.5,100.00,100.00,100.00,0.00,0.00,0.00,0,0
2015-09-18,3.37,59.0,100.00,100.00,100.00,-0.68,-0.68,-0.68,0,0
2015-09-19,3.37,59.0,100.00,100.00,100.00,-0.76,-0.76,-0.76,0,0
2015-09-20,3.37,59.0,100.00,100.00,100.00,-0.78,-0.78,-0.78,0,0
2015-09-21,3.29,56.2,100.00,100.00,100.00,-1.23,-1.23,-1.23,0,0
2015-09-22,3.38,59.2,100.00,100.00,100.00,-2.12,-2.12,-2.12,0,0
2015-09-23,3.36,58.8,100.00,100.00,100.00,-2.46,-2.46,-2.46,0,0
2015-09-24,3.38,60.5,100.00,100.00,100.00,-1.87,-1.87,-1.87,0,0
2015-09-25,3.33,60.7,100.00,100.00,100.00,-2.16,-2.16,-2.16,0,0
2015-09-26,3.33,60.7,100.00,100.00,100.00,-2.21,-2.21,-2.21,0,0
2015-09-27,3.33,60.7,100.00,100.00,100.00,-2.30,-2.30,-2.30,0,0
2015-09-28,3.40,65.9,100.00,100.00,100.00,-3.77,-3.77,-3.77,0,0
2015-09-29,3.45,64.9,100.00,100.00,100.00,-3.98,-3.98,-3.98,0,0
2015-09-30,3.44,61.9,100.00,100.00,100.00,-2.76,-2.76,-2.76,0,0
2015-10-01,3.46,59.3,100.00,100.00,100.00,-2.70,-2.70,-2.70,0,0
2015-10-02,3.51,57.2,100.00,100.00,100.00,-1.10,-1.10,-1.10,0,0
2015-10-03,3.51,57.2,100.00,100.00,100.00,-1.01,-1.01,-1.01,0,0
2015-10-04,3.51,57.2,100.00,100.00,100.00,-1.04,-1.04,-1.04,0,0
2015-10-05,3.44,55.4,100.00,100.00,100.00,0.00,0.00,0.00,0,0
2015-10-06,3.46,55.2,100.00,100.00,100.00,0.00,0.00,0.00,0,0
2015-10-07,3.44,53.9,100.00,100.00,100.00,0.00,0.00,0.00,0,0
2015-10-08,3.39,52.6,100.00,100.00,100.00,0.00,0.00,0.00,0,0
2015-10-09,3.40,52.2,100.00,100.00,100.00,0.00,0.00,0.00,0,0
2015-10-10,3.40,52.2,100.00,100.00,100.00,0.00,0.00,0.00,0,0
2015-10-11,3.40,52.2,100.00,100.00,100.00,0.00,0.00,0.00,0,0
2015-10-12,3.41,51.0,100.00,100.00,100.00,-0.25,-0.25,-0.25,0,0
2015-10-13,3.44,53.0,100.00,100.00,100.00,-0.41,-0.41,-0.41,0,0
2015-10-14,3.52,53.4,100.00,100.00,100.00,0.00,0.00,0.00,0,0
2015-10-15,3.48,50.9,100.00,100.00,100.00,0.00,0.00,0.00,0,0
2015-10-16,3.48,49.6,100.00,100.00,100.00,0.00,0.00,0.00,0,0
2015-10-17,3.48,49.6,100.00,100.00,100.00,0.00,0.00,0.00,0,0
2015-10-18,3.48,49.6,100.00,100.00,100.00,-0.45,-0.45,-0.45,0,0
2015-10-19,3.47,49.5,100.00,100.00,100.00,-0.64,-0.64,-0.64,0,0
2015-10-20,3.43,50.5,100.00,100.00,100.00,-0.31,-0.31,-0.31,0,0
2015-10-21,3.47,51.7,100.00,100.00,100.00,-1.19,-1.19,-1.19,0,0
2015-10-22,3.47,48.8,100.00,100.00,100.00,0.00,0.00,0.00,0,0
2015-10-23,3.42,48.8,100.00,100.00,100.00,0.00,0.00,0.00,0,0
2015-10-24,3.42,48.8,100.00,100.00,100.00,0.00,0.00,0.00,0,0
2015-10-25,3.42,48.8,100.00,100.00,100.00,0.00,0.00,0.00,0,0
2015-10-26,3.44,49.9,100.00,100.00,100.00,-0.24,-0.24,-0.24,0,0
2015-10-27,3.47,50.1,100.00,100.00,100.00,-0.16,-0.16,-0.16,0,0
2015-10-28,3.41,48.6,100.00,100.00,100.00,0.00,0.00,0.00,0,0
2015-10-29,3.33,49.0,100.00,100.00,100.00,-0.30,-0.30,-0.30,0,0
2015-10-30,3.35,49.6,100.00,100.00,100.00,0.00,0.00,0.00,0,0
2015-10-31,3.35,49.6,100.00,100.00,100.00,-0.62,-0.62,-0.62,0,0
2015-11-01,3.35,49.6,100.00,100.00,100.00,-0.10,-0.10,-0.10,0,0
2015-11-02,3.31,48.4,100.00,100.00,100.00,0.00,0.00,0.00,0,0
2015-11-03,3.28,48.9,100.00,100.00,100.00,0.00,0.00,0.00,0,0
2015-11-04,3.27,50.2,100.00,100.00,100.00,0.00,0.00,0.00,0,0
2015-11-05,3.26,49.6,100.00,100.00,100.00,-1.39,-1.39,-1.39,0,0
2015-11-06,3.17,48.6,100.00,100.00,100.00,-2.18,-2.18,-2.18,0,0
2015-11-07,3.17,48.6,100.00,100.00,100.00,-1.72,-1.72,-1.72,0,0
2015-11-08,3.17,48.6,100.00,100.00,100.00,-2.21,-2.21,-2.21,0,0
2015-11-09,3.16,51.5,100.00,100.00,100.00,-2.70,-2.70,-2.70,0,0
2015-11-10,3.18,49.9,100.00,100.00,100.00,-4.60,-4.60,-4.60,0,0
2015-11-11,3.16,50.9,100.00,100.00,100.00,-5.80,-5.80,-5.80,0,0
2015-11-12,3.18,53.9,100.00,100.00,100.00,-5.57,-5.57,-5.57,0,0
2015-11-13,3.22,56.1,100.00,100.00,100.00,-6.62,-6.62,-6.62,0,0
2015-11-14,3.22,56.1,100.00,100.00,100.00,-6.75,-6.75,-6.75,0,0
2015-11-15,3.22,56.1,100.00,100.00,100.00,-7.21,-7.21,-7.21,0,0
2015-11-16,3.23,53.6,100.00,100.00,100.00,-6.01,-6.01,-6.01,0,0
2015-11-17,3.24,54.5,100.00,100.00,100.00,-6.16,-6.16,-6.16,0,0
2015-11-18,3.23,51.9,100.00,100.00,100.00,-5.31,-5.31,-5.31,0,0
2015-11-19,3.25,52.1,100.00,100.00,100.00,-5.16,-5.16,-5.16,0,0
2015-11-20,3.24,50.1,100.00,100.00,100.00,-5.24,-5.24,-5.24,0,0
2015-11-21,3.24,50.1,100.00,100.00,100.00,-5.06,-5.06,-5.06,0,0
2015-11-22,3.24,50.1,100.00,100.00,100.00,-5.15,-5.15,-5.15,0,0
2015-11-23,3.25,50.3,100.00,100.00,100.00,-5.68,-5.68,-5.68,0,0
2015-11-24,3.26,50.7,100.00,100.00,100.00,-5.38,-5.38,-5.38,0,0
2015-11-25,3.27,49.7,100.00,100.00,100.00,-5.21,-5.21,-5.21,0,0
2015-11-26,3.27,49.7,100.00,100.00,100.00,-4.31,-4.31,-4.31,0,0
2015-11-27,3.28,49.7,100.00,100.00,100.00,-4.42,-4.42,-4.42,0,0
2015-11-28,3.28,49.7,100.00,100.00,100.00,-4.44,-4.44,-4.44,0,0
2015-11-29,3.28,49.7,100.00,100.00,100.00,-3.97,-3.97,-3.97,0,0
2015-11-30,3.28,51.0,100.00,100.00,100.00,-3.54,-3.54,-3.54,0,0
2015-12-01,3.35,49.1,100.00,100.00,100.00,-3.23,-3.23,-3.23,0,0
2015-12-02,3.32,50.7,100.00,100.00,100.00,-4.22,-4.22,-4.22,0,0
2015-12-03,3.17,53.5,100.00,100.00,100.00,-4.88,-4.88,-4.88,0,0
2015-12-04,3.22,49.3,100.00,100.00,100.00,-3.26,-3.26,-3.26,0,0
2015-12-05,3.22,49.3,100.00,100.00,100.00,-2.40,-2.40,-2.40,0,0
2015-12-06,3.22,49.3,100.00,100.00,100.00,-2.40,-2.40,-2.40,0,0
2015-12-07,3.28,50.6,100.00,100.00,100.00,-3.21,-3.21,-3.21,0,0
2015-12-08,3.26,52.9,100.00,100.00,100.00,-2.89,-2.89,-2.89,0,0
2015-12-09,3.29,55.5,100.00,100.00,100.00,-3.57,-3.57,-3.57,0,0
2015-12-10,3.26,55.1,100.00,100.00,100.00,-3.37,-3.37,-3.37,0,0
2015-12-11,3.36,61.7,100.00,100.00,100.00,-3.80,-3.80,-3.80,0,0
2015-12-12,3.36,61.7,100.00,100.00,100.00,-4.26,-4.26,-4.26,0,0
2015-12-13,3.36,61.7,100.00,100.00,100.00,-4.29,-4.29,-4.29,0,0
2015-12-14,3.28,59.5,100.00,100.00,100.00,-3.90,-3.90,-3.90,0,0
2015-12-15,3.23,57.2,100.00,100.00,100.00,-2.63,-2.63,-2.63,0,0
2015-12-16,3.21,53.2,100.00,100.00,100.00,-1.72,-1.72,-1.72,0,0
2015-12-17,3.26,54.6,100.00,100.00,100.00,-2.93,-2.93,-2.93,0,0
2015-12-18,3.30,56.9,100.00,100.00,100.00,-3.30,-3.30,-3.30,0,0
2015-12-19,3.30,56.9,100.00,100.00,100.00,-3.34,-3.34,-3.34,0,0
2015-12-20,3.30,56.9,100.00,100.00,100.00,-3.85,-3.85,-3.85,0,0
2015-12-21,3.30,54.3,100.00,100.00,100.00,-3.09,-3.09,-3.09,0,0
2015-12-22,3.26,51.6,100.00,100.00,100.00,-2.53,-2.53,-2.53,0,0
2015-12-23,3.24,50.2,100.00,100.00,100.00,-1.80,-1.80,-1.80,0,0
2015-12-24,3.26,50.5,100.00,100.00,100.00,-1.36,-1.36,-1.36,0,0
2015-12-25,3.26,50.5,100.00,100.00,100.00,-1.34,-1.34,-1.34,0,0
2015-12-26,3.26,50.5,100.00,100.00,100.00,-2.38,-2.38,-2.38,0,0
2015-12-27,3.26,50.5,100.00,100.00,100.00,-2.22,-2.22,-2.22,0,0
2015-12-28,3.28,52.0,100.00,100.00,100.00,-2.53,-2.53,-2.53,0,0
2015-12-29,3.19,50.9,100.00,100.00,100.00,-1.48,-1.48,-1.48,0,0
2015-12-30,3.20,52.5,100.00,100.00,100.00,-2.45,-2.45,-2.45,0,0
2015-12-31,3.23,53.7,100.00,100.00,100.00,-2.75,-2.75,-2.75,0,0
2016-01-01,3.23,53.7,100.00,100.00,100.00,-2.64,-2.64,-2.64,0,0
2016-01-02,3.23,53.7,100.00,100.00,100.00,-2.66,-2.66,-2.66,0,0
2016-01-03,3.23,53.7,100.00,100.00,100.00,-2.76,-2.76,-2.76,0,0
2016-01-04,3.26,56.9,100.00,100.00,100.00,-3.62,-3.62,-3.62,0,0
2016-01-05,3.25,55.1,100.00,100.00,100.00,-3.76,-3.76,-3.76,0,0
2016-01-06,3.32,56.8,100.00,100.00,100.00,-4.83,-4.83,-4.83,0,0
2016-01-07,3.35,62.5,100.00,100.00,100.00,-5.92,-5.92,-5.92,0,0
2016-01-08,3.37,65.1,100.00,100.00,100.00,-6.63,-6.63,-6.63,0,0
2016-01-09,3.37,65.1,100.00,100.00,100.00,-6.78,-6.78,-6.78,0,0
2016-01-10,3.37,65.1,100.00,100.00,100.00,-6.77,-6.77,-6.77,0,0
2016-01-11,3.34,61.6,100.00,100.00,100.00,-6.87,-6.87,-6.87,0,0
2016-01-12,3.40,59.2,100.00,100.00,100.00,-6.84,-6.84,-6.84,0,0
2016-01-13,3.43,62.8,100.00,100.00,100.00,-8.59,-8.59,-8.59,0,0
2016-01-14,3.40,61.1,100.00,100.00,100.00,-8.07,-8.07,-8.07,0,0
2016-01-15,3.47,65.1,100.00,100.00,100.00,-11.96,-11.96,-11.96,0,0
2016-01-16,3.47,65.1,100.00,100.00,100.00,-11.20,-11.20,-11.20,0,0
2016-01-17,3.47,65.1,100.00,100.00,100.00,-11.36,-11.36,-11.36,0,0
2016-01-18,3.47,65.1,100.00,100.00,100.00,-11.21,-11.21,-11.21,0,0
2016-01-19,3.46,63.9,100.00,100.00,100.00,-11.18,-11.18,-11.18,0,0
2016-01-20,3.52,65.9,100.00,100.00,100.00,-10.26,-10.26,-10.26,0,0
2016-01-21,3.48,64.7,100.00,100.00,100.00,-10.06,-10.06,-10.06,0,0
2016-01-22,3.45,59.0,100.00,100.00,100.00,-9.35,-9.35,-9.35,0,0
2016-01-23,3.45,59.0,100.00,100.00,100.00,-9.19,-9.19,-9.19,0,0
2016-01-24,3.45,59.0,100.00,100.00,100.00,-8.70,-8.70,-8.70,0,0
2016-01-25,3.48,61.4,100.00,100.00,100.00,-9.83,-9.83,-9.83,0,0
2016-01-26,3.51,59.3,100.00,100.00,100.00,-8.79,-8.79,-8.79,0,0
2016-01-27,3.50,60.0,100.00,100.00,100.00,-9.39,-9.39,-9.39,0,0
2016-01-28,3.51,59.1,100.00,100.00,100.00,-9.38,-9.38,-9.38,0,0
2016-01-29,3.57,56.3,100.00,100.00,100.00,-7.70,-7.70,-7.70,0,0
2016-01-30,3.57,56.3,100.00,100.00,100.00,-7.74,-7.74,-7.74,0,0
2016-01-31,3.57,56.3,100.00,100.00,100.00,-8.06,-8.06,-8.06,0,0
2016-02-01,3.53,56.0,100.00,100.00,100.00,-7.69,-7.69,-7.69,0,0
2016-02-02,3.64,58.6,100.00,100.00,100.00,-9.10,-9.10,-9.10,0,0
2016-02-03,3.62,58.1,100.00,100.00,100.00,-8.44,-8.44,-8.44,0,0
2016-02-04,3.64,58.4,100.00,100.00,100.00,-7.27,-7.27,-7.27,0,0
2016-02-05,3.65,60.4,100.00,100.00,100.00,-8.40,-8.40,-8.40,0,0
2016-02-06,3.65,60.4,100.00,100.00,100.00,-8.70,-8.70,-8.70,0,0
2016-02-07,3.65,60.4,100.00,100.00,100.00,-8.70,-8.70,-8.70,0,0
2016-02-08,3.76,63.8,100.00,100.00,100.00,-9.60,-9.60,-9.60,0,0
2016-02-09,3.77,64.5,100.00,100.00,100.00,-10.03,-10.03,-10.03,0,0
2016-02-10,3.79,64.2,100.00,100.00,100.00,-9.74,-9.74,-9.74,0,0
2016-02-11,3.86,66.6,100.00,100.00,100.00,-9.61,-9.61,-9.61,0,0
2016-02-12,3.75,63.0,100.00,100.00,100.00,-8.42,-8.42,-8.42,0,0
2016-02-13,3.75,63.0,100.00,100.00,100.00,-8.20,-8.20,-8.20,0,0
2016-02-14,3.75,63.0,100.00,100.00,100.00,-7.75,-7.75,-7.75,0,0
2016-02-15,3.75,63.0,100.00,100.00,100.00,-7.95,-7.95,-7.95,0,0
2016-02-16,3.72,61.3,100.00,100.00,100.00,-7.03,-7.03,-7.03,0,0
2016-02-17,3.68,59.0,100.00,100.00,100.00,-5.35,-5.35,-5.35,0,0
2016-02-18,3.74,58.1,100.00,100.00,100.00,-5.00,-5.00,-5.00,0,0
2016-02-19,3.75,56.7,100.00,100.00,100.00,-5.18,-5.18,-5.18,0,0
2016-02-20,3.75,56.7,100.00,100.00,100.00,-4.71,-4.71,-4.71,0,0
2016-02-21,3.75,56.7,100.00,100.00,100.00,-4.67,-4.67,-4.67,0,0
2016-02-22,3.73,55.2,100.00,100.00,100.00,-3.98,-3.98,-3.98,0,0
2016-02-23,3.75,57.3,100.00,100.00,100.00,-5.18,-5.18,-5.18,0,0
2016-02-24,3.76,56.9,100.00,100.00,100.00,-4.66,-4.66,-4.66,0,0
2016-02-25,3.80,54.8,100.00,100.00,100.00,-4.26,-4.26,-4.26,0,0
2016-02-26,3.74,55.8,100.00,100.00,100.00,-4.27,-4.27,-4.27,0,0
2016-02-27,3.74,55.8,100.00,100.00,100.00,-4.26,-4.26,-4.26,0,0
2016-02-28,3.74,55.8,100.00,100.00,100.00,-4.23,-4.23,-4.23,0,0
2016-02-29,3.76,56.7,100.00,100.00,100.00,-3.96,-3.96,-3.96,0,0
2016-03-01,3.67,53.0,100.00,100.00,100.00,-2.50,-2.50,-2.50,0,0
2016-03-02,3.65,52.2,100.00,100.00,100.00,-2.34,-2.34,-2.34,0,0
2016-03-03,3.67,51.7,100.00,100.00,100.00,-1.57,-1.57,-1.57,0,0
2016-03-04,3.62,51.9,100.00,100.00,100.00,-1.56,-1.56,-1.56,0,0
2016-03-05,3.62,51.9,100.00,100.00,100.00,-1.88,-1.88,-1.88,0,0
2016-03-06,3.62,51.9,100.00,100.00,100.00,-1.65,-1.65,-1.65,0,0
2016-03-07,3.60,52.6,100.00,100.00,100.00,-1.16,-1.16,-1.16,0,0
2016-03-08,3.67,54.3,100.00,100.00,100.00,-2.08,-2.08,-2.08,0,0
2016-03-09,3.61,53.8,100.00,100.00,100.00,-2.01,-2.01,-2.01,0,0
2016-03-10,3.57,53.5,100.00,100.00,100.00,-1.60,-1.60,-1.60,0,0
2016-03-11,3.52,51.4,100.00,100.00,100.00,-0.72,-0.72,-0.72,0,0
2016-03-12,3.52,51.4,100.00,100.00,100.00,-1.02,-1.02,-1.02,0,0
2016-03-13,3.52,51.4,100.00,100.00,100.00,-0.95,-0.95,-0.95,0,0
2016-03-14,3.54,52.0,100.00,100.00,100.00,-1.40,-1.40,-1.40,0,0
2016-03-15,3.54,51.9,100.00,100.00,100.00,-1.54,-1.54,-1.54,0,0
2016-03-16,3.56,49.5,100.00,100.00,100.00,-0.19,-0.19,-0.19,0,0
2016-03-17,3.60,48.8,100.00,100.00,100.00,0.00,0.00,0.00,0,0
2016-03-18,3.63,48.2,100.00,100.00,100.00,-0.07,-0.07,-0.07,0,0
2016-03-19,3.63,48.2,100.00,100.00,100.00,-0.04,-0.04,-0.04,0,0
