Rank,RiskPct,MinScore,MaxPos,CAGR,Sharpe,Calmar,MaxDD,TotalRet,FinalValue,Trades,WinRate,Vol,Composite
1,0.02,30,4,0.080822,0.036265,0.708593,0.114060,2.293800,32938.00,456,0.489035,0.069768,0.489000
2,0.02,35,4,0.079025,0.035064,0.713979,0.110683,2.210821,32108.21,462,0.491342,0.069083,0.486900
3,0.015,35,4,0.069921,0.030041,0.706183,0.099012,1.819518,28195.18,462,0.491342,0.061872,0.466100
4,0.015,30,4,0.071472,0.031405,0.657325,0.108731,1.882864,28828.64,456,0.489035,0.062122,0.456300
5,0.02,40,4,0.080137,0.035657,0.587920,0.136306,2.261931,32619.31,461,0.483731,0.069846,0.454500
6,0.02,30,5,0.081803,0.035364,0.575087,0.142245,2.339980,33399.80,578,0.470588,0.073661,0.452600
7,0.02,45,4,0.075573,0.031539,0.571816,0.132163,2.056815,30568.15,480,0.472917,0.070614,0.439200
8,0.02,40,5,0.081766,0.034454,0.515223,0.158700,2.338189,33381.89,585,0.470085,0.075836,0.435500
9,0.02,35,5,0.080977,0.034649,0.485721,0.166715,2.301047,33010.47,576,0.479167,0.073809,0.426800
10,0.02,50,5,0.074016,0.029124,0.534037,0.138598,1.989668,29896.68,555,0.470270,0.073848,0.424900
11,0.015,40,4,0.070836,0.030690,0.538592,0.131520,1.856727,28567.27,461,0.483731,0.062383,0.422300
12,0.015,30,5,0.071644,0.029979,0.525133,0.136431,1.889989,28899.89,578,0.470588,0.065929,0.418500
13,0.02,40,6,0.076511,0.029965,0.484277,0.157989,2.097947,30979.47,686,0.469388,0.077181,0.415700
14,0.02,35,6,0.078045,0.030638,0.470130,0.166008,2.166379,31663.79,691,0.477569,0.078652,0.415500
15,0.01,35,4,0.055872,0.019378,0.614393,0.090939,1.302156,23021.56,462,0.491342,0.050939,0.412200
16,0.01,30,4,0.056951,0.020719,0.588316,0.096804,1.338498,23384.98,456,0.489035,0.050713,0.407500
17,0.015,40,5,0.071894,0.029466,0.479763,0.149853,1.900340,29003.40,585,0.470085,0.067847,0.406100
18,0.015,45,4,0.066556,0.026549,0.516999,0.128736,1.686560,26865.60,480,0.472917,0.062650,0.406100
19,0.02,50,4,0.068315,0.025437,0.508120,0.134447,1.755312,27553.12,468,0.470085,0.070818,0.406100
20,0.015,50,5,0.065343,0.024430,0.514674,0.126960,1.640054,26400.54,555,0.470270,0.065649,0.402200
21,0.02,30,6,0.078604,0.030895,0.415729,0.189074,2.191625,31916.25,690,0.475362,0.079134,0.400600
22,0.015,35,5,0.070425,0.028852,0.446875,0.157595,1.839985,28399.85,576,0.479167,0.066033,0.394800
23,0.015,40,6,0.067690,0.025333,0.452542,0.149577,1.730677,27306.77,686,0.469388,0.069415,0.389400
24,0.02,45,5,0.073619,0.028671,0.414333,0.177682,1.972762,29727.62,570,0.463158,0.074266,0.389400
25,0.015,35,6,0.068378,0.025524,0.431793,0.158358,1.757803,27578.03,691,0.477569,0.070709,0.385600
26,0.02,30,3,0.056592,0.017091,0.515498,0.109782,1.326351,23263.51,358,0.458101,0.062744,0.382900
