date,motorValue,frozenValue,motorDD,motorRegime,allocations,rebalanceDay,legacyPnL,alphaDaily
2026-07-24,9084.14,9045.91,-7.31%,EXPANSION,BTC-EUR:8.3%|EMXC.DE:13.4%|PPFB.DE:13.1%|URNU.DE:6.6%|VVSM.DE:11.5%|0P00000WLG.F:32.3%,N,-1169.07,0.000000
2026-07-25,9087.18,9051.72,-7.28%,EXPANSION,BTC-EUR:10.2%|EMXC.DE:7.7%|PPFB.DE:7.7%|URNU.DE:7.9%|VVSM.DE:6.6%|0P00000WLG.F:19.9%,N,-1163.26,-0.000307
2026-07-26,9100.44,9077.09,-7.14%,EXPANSION,BTC-EUR:10.2%|EMXC.DE:7.7%|PPFB.DE:7.7%|URNU.DE:7.9%|VVSM.DE:6.6%|0P00000WLG.F:19.9%,N,-1137.89,-0.001343
2026-07-27,9018.04,9001.29,-7.98%,EXPANSION,BTC-EUR:10.2%|EMXC.DE:7.7%|PPFB.DE:7.7%|URNU.DE:7.9%|VVSM.DE:6.6%|0P00000WLG.F:19.9%,N,-1213.69,-0.000703
2026-07-28,8979.60,8948.99,-8.37%,EXPANSION,BTC-EUR:10.2%|EMXC.DE:7.7%|PPFB.DE:7.7%|URNU.DE:7.9%|VVSM.DE:6.6%|0P00000WLG.F:19.9%,N,-1265.99,0.001547
2026-07-29,8885.76,8859.15,-9.33%,EXPANSION,BTC-EUR:10.2%|EMXC.DE:7.7%|PPFB.DE:7.7%|URNU.DE:7.9%|VVSM.DE:6.6%|0P00000WLG.F:19.9%,N,-1355.83,-0.000411
2026-07-30,8971.53,8938.33,-8.46%,EXPANSION,BTC-EUR:10.2%|EMXC.DE:7.7%|PPFB.DE:7.7%|URNU.DE:7.9%|VVSM.DE:6.6%|0P00000WLG.F:19.9%,N,-1276.65,0.000715
2026-07-31,8956.67,8856.70,-8.61%,EXPANSION,BTC-EUR:10.2%|EMXC.DE:7.7%|PPFB.DE:5.0%|URNU.DE:7.9%|VVSM.DE:6.6%|0P00000WLG.F:19.9%,N,-1358.28,0.007476
2026-08-01,8955.94,8855.33,-8.62%,EXPANSION,BTC-EUR:10.2%|EMXC.DE:7.7%|PPFB.DE:5.0%|URNU.DE:7.9%|VVSM.DE:6.6%|0P00000WLG.F:19.9%,N,-1359.65,0.000073
2026-08-02,8965.77,8873.70,-8.52%,EXPANSION,BTC-EUR:10.2%|EMXC.DE:7.7%|PPFB.DE:5.0%|URNU.DE:7.9%|VVSM.DE:6.6%|0P00000WLG.F:19.9%,N,-1341.28,-0.000977
2026-08-03,9009.31,8944.86,-8.07%,EXPANSION,BTC-EUR:10.2%|EMXC.DE:7.7%|PPFB.DE:5.0%|URNU.DE:7.9%|VVSM.DE:6.6%|0P00000WLG.F:19.9%,N,-1270.12,-0.003163
2026-08-04,9147.39,9093.55,-6.66%,EXPANSION,BTC-EUR:10.2%|EMXC.DE:7.7%|PPFB.DE:5.0%|URNU.DE:7.9%|VVSM.DE:6.6%|0P00000WLG.F:19.9%,N,-1121.43,-0.001296
2026-08-05,9180.29,9221.05,-6.33%,EXPANSION,BTC-EUR:10.2%|EMXC.DE:7.7%|PPFB.DE:5.0%|URNU.DE:7.9%|VVSM.DE:6.6%|0P00000WLG.F:19.9%,N,-993.93,-0.010425
2026-08-06,9185.11,9234.47,-6.28%,EXPANSION,BTC-EUR:10.2%|EMXC.DE:7.7%|PPFB.DE:5.0%|URNU.DE:7.9%|VVSM.DE:6.6%|0P00000WLG.F:19.9%,N,-980.51,-0.000930
2026-08-07,9225.81,9344.46,-5.86%,EXPANSION,BTC-EUR:10.2%|EMXC.DE:7.7%|PPFB.DE:5.0%|URNU.DE:7.9%|VVSM.DE:6.6%|0P00000WLG.F:19.9%,N,-870.52,-0.007480
2026-08-08,9226.33,9345.44,-5.86%,EXPANSION,BTC-EUR:10.2%|EMXC.DE:7.7%|PPFB.DE:5.0%|URNU.DE:7.9%|VVSM.DE:6.6%|0P00000WLG.F:19.9%,N,-869.54,-0.000048
2026-08-09,9225.74,9344.34,-5.86%,EXPANSION,BTC-EUR:10.2%|EMXC.DE:7.7%|PPFB.DE:5.0%|URNU.DE:7.9%|VVSM.DE:6.6%|0P00000WLG.F:19.9%,N,-870.64,0.000054
2026-08-10,9199.50,9311.90,-6.13%,EXPANSION,BTC-EUR:10.2%|EMXC.DE:7.7%|PPFB.DE:5.0%|URNU.DE:7.9%|VVSM.DE:6.6%|0P00000WLG.F:19.9%,N,-903.08,0.000627
2026-08-11,9213.47,9344.78,-5.99%,EXPANSION,BTC-EUR:10.2%|EMXC.DE:7.7%|PPFB.DE:5.0%|URNU.DE:7.9%|VVSM.DE:6.6%|0P00000WLG.F:19.9%,N,-870.20,-0.002012
2026-08-12,9253.90,9378.47,-5.58%,EXPANSION,BTC-EUR:10.2%|EMXC.DE:7.7%|PPFB.DE:5.0%|URNU.DE:7.9%|VVSM.DE:6.6%|0P00000WLG.F:19.9%,N,-836.51,0.000782
2026-08-13,9274.06,9354.31,-5.37%,EXPANSION,BTC-EUR:10.2%|EMXC.DE:7.7%|PPFB.DE:5.0%|URNU.DE:7.9%|VVSM.DE:6.6%|0P00000WLG.F:19.9%,N,-860.67,0.004755
2026-08-14,9233.92,9334.60,-5.78%,EXPANSION,BTC-EUR:5.1%|EMXC.DE:7.7%|PPFB.DE:3.3%|URNU.DE:5.1%|VVSM.DE:6.6%|0P00000WLG.F:19.9%,Y,-880.38,-0.002222
2026-08-15,9234.53,9335.68,-5.77%,EXPANSION,BTC-EUR:10.4%|EMXC.DE:7.8%|PPFB.DE:7.4%|URNU.DE:7.7%|VVSM.DE:6.8%|0P00000WLG.F:19.9%,N,-879.30,-0.000049
2026-08-16,9230.98,9329.41,-5.81%,EXPANSION,BTC-EUR:10.4%|EMXC.DE:7.8%|PPFB.DE:7.4%|URNU.DE:7.7%|VVSM.DE:6.8%|0P00000WLG.F:19.9%,N,-885.57,0.000287
2026-08-17,9293.59,9405.87,-5.17%,EXPANSION,BTC-EUR:10.4%|EMXC.DE:7.8%|PPFB.DE:7.4%|URNU.DE:7.7%|VVSM.DE:6.8%|0P00000WLG.F:19.9%,N,-809.11,-0.001413
